사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
20-Oct,1호선,1,서울역,742,17,"9,080","6,035","10,910","32,383","30,876","80,123","55,416","166,935","40,016","114,520","39,380","57,897","47,975","49,064","56,279","51,793","59,742","51,590","49,972","50,339","66,332","51,602","70,498","52,447","117,347","62,669","170,618","65,953","89,282","45,561","60,157","29,940","58,415","24,039","41,353","17,736","14,988","10,966",71,867,10,15,0,4,0,0
20-Oct,1호선,10,동묘앞,132,0,"3,178",861,"3,276","3,663","5,598","8,477","7,558","20,648","6,955","17,861","8,393","19,172","13,287","27,131","19,154","31,848","27,150","34,822","31,753","33,539","35,209","27,480","35,160","19,947","33,198","13,459","24,124","9,419","9,768","6,089","5,473","4,146","4,665","3,931","3,041","3,984","1,282","2,811",6,"1,714",1,11,0,1,0,0
20-Oct,1호선,2,시청,30,0,"1,849","3,661","2,920","17,380","5,780","52,752","7,239","143,481","7,592","69,556","8,683","29,695","12,560","26,980","13,633","23,990","17,418","23,597","22,359","20,537","29,588","18,176","34,831","15,437","63,868","16,262","116,917","15,858","45,847","8,169","35,862","4,432","34,468","3,756","22,497","2,697","7,583","1,714",25,133,0,0,0,1,0,0
20-Oct,1호선,3,종각,118,2,"2,993","3,787","3,477","22,236","5,244","90,183","8,042","202,351","10,188","121,694","13,597","51,133","20,842","44,311","25,926","39,876","32,837","42,371","39,817","37,216","51,458","31,813","59,233","30,642","114,145","34,724","176,710","43,002","79,239","23,646","64,265","9,370","71,092","6,146","54,573","4,115","22,100","2,500",78,210,3,3,2,1,0,0
20-Oct,1호선,4,종로3가,229,14,"3,923","2,939","3,693","10,771","4,878","21,341","6,775","60,913","9,904","66,051","16,904","53,532","28,029","54,790","36,197","55,569","43,553","55,372","50,161","51,163","55,510","42,464","60,941","35,632","70,198","32,485","92,624","34,432","54,663","18,072","40,178","8,139","41,998","5,816","34,907","4,451","13,250","3,508",90,656,10,10,0,0,0,0
20-Oct,1호선,5,종로5가,47,0,"1,686","3,527","2,432","13,704","4,372","34,274","6,835","93,464","10,016","59,396","15,987","46,139","24,341","44,454","30,170","45,177","35,931","42,968","43,675","40,565","48,429","35,209","52,331","29,256","69,130","25,010","92,073","22,801","45,347","11,900","28,410","5,427","23,102","4,133","16,935","3,089","5,502","2,185",19,361,2,3,0,0,0,0
20-Oct,1호선,6,동대문,532,7,"12,218","1,891","8,828","6,470","13,721","10,859","17,576","22,802","16,953","21,992","15,628","21,926","17,447","25,315","20,503","26,004","22,146","25,912","24,126","24,449","24,503","22,820","25,449","19,953","26,456","19,939","24,435","19,974","16,300","20,032","12,709","13,916","11,700","10,700","9,802","10,135","4,337","9,920",36,"1,193",4,9,0,0,0,0
20-Oct,1호선,7,신설동,351,5,"8,182","2,287","7,745","7,927","15,607","23,173","22,221","58,397","16,030","34,676","14,181","20,040","16,855","18,008","17,791","18,632","20,106","19,550","20,425","17,831","22,394","17,693","28,191","18,321","38,035","20,951","53,207","24,512","20,793","17,536","13,252","10,741","12,113","9,915","8,556","9,069","2,988","6,847",18,622,3,5,0,0,0,0
20-Oct,1호선,8,제기동,454,11,"4,560","1,910","7,628","7,584","19,552","18,485","28,156","38,578","20,605","33,764","24,062","38,498","33,407","45,195","39,267","43,957","41,580","45,444","44,964","46,201","47,688","38,674","42,727","29,473","39,556","23,457","35,166","24,030","16,207","16,568","10,446","10,429","8,416","8,991","6,326","8,325","2,302","5,204",14,389,0,1,0,0,0,0
